Connecticut,Average Temperature,
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
200001,24.6,-0.8
200002,31.3,5
200003,41.9,6.5
200004,46.1,0.1
200005,57.9,1.1
200006,66,0.6
200007,67.8,-2.9
200008,67.9,-0.7
200009,61.2,-0.3
200010,51.1,0.1
200011,40.5,0.3
200012,26.1,-3.1
200101,25.8,0.4
200102,29.5,3.2
200103,34.1,-1.3
200104,47.9,1.9
200105,58.9,2.1
200106,68.1,2.7
200107,68.2,-2.5
200108,72.8,4.2
200109,62.5,1
200110,52.7,1.7
200111,45.3,5.1
200112,37.1,7.9
200201,33.3,7.9
200202,34.1,7.8
200203,38.6,3.2
200204,50.1,4.1
200205,55.1,-1.7
200206,65.5,0.1
200207,72.8,2.1
200208,71.9,3.3
200209,64.8,3.3
200210,49.6,-1.4
200211,40,-0.2
200212,29.8,0.6
200301,21.4,-4
200302,23.8,-2.5
200303,36,0.6
200304,44.5,-1.5
200305,55,-1.8
200306,64.7,-0.7
200307,71.5,0.8
200308,72.2,3.6
200309,63.3,1.8
200310,49.3,-1.7
200311,43.8,3.6
200312,32.4,3.2
200401,18.7,-6.7
200402,28.5,2.2
200403,38,2.6
200404,48,2
200405,59.9,3.1
200406,65,-0.4
200407,70,-0.7
200408,69.6,1
200409,63.8,2.3
200410,50.9,-0.1
200411,41.9,1.7
200412,30.8,1.6
200501,24.3,-1.1
200502,29.7,3.4
200503,32.3,-3.1
200504,49.3,3.3
200505,53.1,-3.7
200506,69.6,4.2
200507,72.4,1.7
200508,73,4.4
200509,66,4.5
200510,52.7,1.7
200511,43,2.8
200512,28.7,-0.5
200601,33.7,8.3
200602,29.5,3.2
200603,36.7,1.3
200604,49,3
200605,57.2,0.4
200606,67.1,1.7
200607,74.1,3.4
200608,69.8,1.2
200609,61.2,-0.3
200610,51,0
200611,46.3,6.1
200612,38,8.8
200701,31.3,5.9
200702,23.3,-3
200703,35.1,-0.3
200704,44.8,-1.2
200705,59.6,2.8
200706,66.6,1.2
200707,70.9,0.2
200708,70.3,1.7
200709,64.6,3.1
200710,57.8,6.8
200711,39.9,-0.3
200712,30.2,1
200801,29.7,4.3
200802,29.8,3.5
200803,36.5,1.1
200804,49.6,3.6
200805,55.1,-1.7
200806,68.6,3.2
200807,73.3,2.6
200808,67.8,-0.8
200809,63.3,1.8
200810,50,-1
200811,40.5,0.3
200812,32.2,3
200901,21,-4.4
200902,30.2,3.9
200903,36.8,1.4
200904,49.3,3.3
200905,57.8,1
200906,64,-1.4
200907,68.7,-2
200908,71.7,3.1
200909,61,-0.5
200910,49.5,-1.5
200911,46,5.8
200912,30.1,0.9
201001,27,1.6
201002,29.8,3.5
201003,43,7.6
201004,52,6
201005,60.9,4.1
201006,68.9,3.5
201007,75.1,4.4
201008,71,2.4
201009,65.6,4.1
201010,52.8,1.8
201011,41.9,1.7
201012,28.2,-1
201101,23.2,-2.2
201102,27.1,0.8
201103,37,1.6
201104,48.9,2.9
201105,59.7,2.9
201106,66.9,1.5
201107,74.1,3.4
201108,70.8,2.2
201109,66.4,4.9
201110,53.4,2.4
201111,45.9,5.7
201112,36.9,7.7
201201,31.7,6.3
201202,35,8.7
201203,45.8,10.4
201204,49.7,3.7
201205,61.6,4.8
201206,66.4,1
201207,74.1,3.4
201208,72,3.4
201209,63.3,1.8
201210,54.7,3.7
201211,39.4,-0.8
201212,35.9,6.7
201301,28.8,3.4
201302,29.2,2.9
201303,36,0.6
201304,47.3,1.3
201305,58.2,1.4
201306,67.7,2.3
201307,75.9,5.2
201308,68.7,0.1
201309,61.4,-0.1
201310,53.4,2.4
201311,39.8,-0.4
201312,31,1.8
201401,23.6,-1.8
201402,25,-1.3
201403,30.6,-4.8
201404,46.7,0.7
201405,58.3,1.5
201406,66.8,1.4
201407,71.9,1.2
201408,68.4,-0.2
201409,63.6,2.1
201410,54.1,3.1
201411,39.7,-0.5
201412,35.4,6.2
201501,23.3,-2.1
201502,15.8,-10.5
201503,31,-4.4
201504,47,1
201505,62.7,5.9
201506,65.3,-0.1
201507,72.2,1.5
201508,72,3.4
201509,67.8,6.3
201510,51.4,0.4
201511,46.1,5.9
201512,43.5,14.3
201601,29.7,4.3
201602,32,5.7
201603,43.2,7.8
201604,46.8,0.8
201605,58.4,1.6
201606,67.4,2
201607,74.1,3.4
201608,73.9,5.3
201609,66.2,4.7
201610,53.5,2.5
201611,43.5,3.3
201612,32.6,3.4
201701,32.7,7.3
201702,34.6,8.3
201703,33.4,-2
201704,51.8,5.8
201705,56.7,-0.1
201706,67,1.6
201707,71.5,0.8
201708,69.1,0.5
201709,66,4.5
201710,58.6,7.6
201711,41,0.8
201712,28.7,-0.5
201801,25.4,0
201802,35.7,9.4
201803,36.4,1
201804,43.4,-2.6
201805,62.2,5.4
201806,66.4,1
201807,74,3.3
201808,74.3,5.7
201809,66.1,4.6
201810,52.3,1.3
201811,39.1,-1.1
201812,33.8,4.6
201901,27,1.6
201902,30.2,3.9
201903,35,-0.4
201904,49.1,3.1
201905,57.1,0.3
201906,66.5,1.1
201907,74.9,4.2
201908,70.6,2
201909,63.2,1.7
201910,53.6,2.6
201911,38.1,-2.1
201912,31.7,2.5
202001,33.1,7.7